Time,47959.obc_uptime_total
2023-03-05 01:09:30,60767703
2023-03-05 01:09:30,60767703
2023-03-05 01:10:49,60767791
2023-03-05 01:10:49,60767791
2023-03-05 01:10:58,60767791
2023-03-05 01:10:58,60767791
2023-03-05 01:10:58,60767791
2023-03-05 01:10:58,60767791
2023-03-05 01:12:17,60767879
2023-03-05 01:12:18,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:12:26,60767879
2023-03-05 01:13:45,60767967
2023-03-05 01:13:46,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:13:54,60767967
2023-03-05 01:15:14,60768055
2023-03-05 01:15:22,60768055
2023-03-05 02:44:52,60773423
2023-03-05 02:44:52,60773423
2023-03-05 02:46:20,60773511
